"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-01","3.13",,"0.79","0.0","0.0",,"56","50","   60","   60","10.1","15.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-02","5.82",,"0.04","0.0","0.0",,"59","37","  300","  300","18.1","30.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-03","9.84",,"0.00","0.0","0.0",,"37","22","  350","  360","18.1","29.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-04","6.04",,"0.00","0.0","0.0",,"34","19","  300","  290","14.1","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-05","5.59",,"0.23","0.0","0.0",,"47","31","  220","  240","15.0","23.0","    1",,,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-06","6.49",,"0.00","0.0","0.0",,"41","34","  280","  270","17.0","27.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-07","8.72",,"0.38","5.8","5.9",,"34","25","   30","  270","18.1","29.1","    1","    1",,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-08","6.04",,"0.00","0.0","3.1",,"30","20","  310","  330","16.1","30.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-09","8.50",,"0.10","0.0","3.1",,"40","29","  240","  220","16.1","23.9","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-10","8.50",,"0.00","0.0","0.0",,"40","24","  300","  300","23.0","36.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-11","7.38",,"0.00","0.0","0.0",,"24","15","  300","  300","18.1","29.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-12","6.04",,"0.00","0.0","0.0",,"40","20","  210","  200","17.0","29.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-13","3.13",,"0.00","0.0","0.0",,"48","34","   60","   70","8.1","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-14","8.28",,"0.00","0.0","0.0",,"43","21","   10","   40","21.9","32.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-15","7.16",,"0.00","0.0","0.0",,"21","10","   10","   20","14.1","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-16","8.50",,"0.37","0.8","0.0",,"37","10","   60","   40","17.0","27.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-17","10.07",,"1.16","0.0","0.0",,"44","34","   50","   60","23.9","36.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-18","9.17",,"0.00","0.0","0.0",,"36","29","  300","  310","19.9","33.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-19","6.71",,"0.00","0.0","0.0",,"49","28","  240","  200","15.0","27.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-20","6.71",,"0.30","0.0","0.0",,"46","22","   10","   10","18.1","27.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-21","7.83",,"0.00","0.0","0.0",,"22","14","   20","   10","16.1","25.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-22","5.59",,"0.00","0.0","0.0",,"29","13","  250","   30","13.0","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-23","5.37",,"0.02","0.2","0.0",,"37","24","  240","  230","14.1","21.9","    1",,,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-24","4.25",,"0.00","0.0","0.0",,"36","26","  210","  210","15.0","19.9",,,,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-25","5.82",,"0.00","0.0","0.0",,"42","28","  280","  270","13.0","19.0",,,,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-26","6.26",,"0.00","0.0","0.0",,"28","20","  300","  300","16.1","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-27","5.37",,"0.00","0.0","0.0",,"32","17","  230","  240","15.0","19.9",,,,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-28","4.70",,"0.13","1.2","0.0",,"32","29","   40","   30","19.9","27.1","    1",,,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-29","12.53",,"0.77","7.3","5.9",,"29","12","  350","  350","23.0","32.0","    1","    1",,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-30","6.93",,"0.00","0.0","7.1",,"26","12","  300","  290","17.0","30.0",,,,,,,
